so too does the idea that accommodating religious differences is dangerous	L’ idée de concilier les différences religieuses semble donc dangereuse .
mr president i congratulate you president - in - office on the progress on enlargement that has been made during the greek presidency	- ( EN ) Monsieur le Président , je vous félicite , Monsieur le Président en exercice du Conseil , pour les progrès réalisés sur la question de l' élargissement au cours de la présidence grecque .
not all of the safeguards we called for were inserted and the draft directive on defendants rights sat for many years in the council 's in - tray	Toutes les protections que nous avons demandées n' ont pas été ajoutées au texte , et le projet de directive sur les droits de la défense a trainé pendant de nombreuses années dans la pile des dossiers à traiter par le Conseil .
enlargement however is continuing	Cependant , l’ élargissement continue .
for many nations that will require developing institutions capable of conducting adequate planning monitoring and evaluation	Pour de nombreuses nations , il sera nécessaire de mettre sur pied des institutions capables de procéder à une planification , un suivi et une évaluation appropriés .
the council has attacked the position of the parliament at its core and damaged it	Dans ce cas - ci , le Conseil a détruit l' essence de la position du Parlement !
the weapons and the instructors were destined for the houthi rebels	Les armes et les instructeurs étaient destinés aux rebelles Houthi .
madam president the schengen agreement was signed as long ago as 1985 but it was ten years before it came into force	Madame le Président , la convention de Schengen a été signée dès 1985 , mais il a fallu attendre dix ans avant qu' elle n' entre en vigueur .
we will discuss policy approaches early on so that we will avoid divergent regulation down the road	Nous allons discuter très tôt des approches politiques de manière à éviter , plus tard , que nos réglementations ne prennent des chemins séparés .
i would like to thank commissioner marcelino oreja aguirre	Nous remercions le commissaire , M. Marcelino Oreja .
it is clear from the voting list that amendment 51 is more far - reaching than amendments 42 and 52 so i would ask that we vote on amendment 51 first and then on amendments 42 and 52	La liste des votes montre clairement que l' amendement 51 est plus lourd de conséquences que les amendements 42 et 52 , je demanderais donc que nous votions d' abord sur l' amendement 51 et ensuite sur les amendements 42 et 52 .
today at the time of our greatest historical prosperity an incomparably smaller number of oppressed and persecuted individuals is taking flight in our direction	Aujourd'hui , à une époque de prospérité jamais connue auparavant en Europe , un nombre incomparablement plus réduit de personnes poursuivies et opprimées fuient vers nous et que faisons- nous ?
what would happen in the event of weather hazards in the americas	Que se passerait - il en cas d' aléas climatiques dans les Amériques ?
first because it provides a confused response to the fundamental questions of competition between european ports and financial transparency in the allocation of grants to these ports	D' abord , parce qu' il apporte une réponse confuse aux questions fondamentales de la concurrence entre les ports européens et de la transparence financière dans l' attribution de subventions en leur faveur .
there are however also many more examples	Mais il en existe d' autres .
this year however the parliaments and governments of these countries have successfully passed their resits	Cette année , cependant , les parlements et gouvernements de ces pays ont parfaitement rempli leur rôle .
it is not enough simply to hold international conferences	Il ne suffit pas d' organiser des conférences internationales .
how could we justify to the public the fact that we are campaigning for more rights for parliament although we are saying that we do not want to make any decisions and instead want simply to give carte blanche	Nous nous battons pour que le Parlement ait davantage de droits mais disons que nous ne voulons rien décider et accordons un chèque en blanc : comment justifier cela auprès de l' extérieur ?
i would first of all like to highlight the extremely small size of the budget proposed by the commission which only amounts to eur 15 million per year	Je voudrais souligner tout d' abord le niveau très faible du budget proposé par la Commission qui ne s' élève qu' à 15 millions d' euros par an .
it is therefore unavoidable to pick up the work interrupted during the final stage of the recent intergovernmental conference and begin preparing without delay the arrangements for carrying out the impending institutional reform	Nous devons , par conséquent , reprendre le travail interrompu lors de la dernière phase de la récente conférence intergouvernementale et commencer à fixer , sans délai , les objectifs de la réforme institutionnelle .
we must give a clear signal to the regime in cuba that we no longer tolerate the situation	Nous devons faire clairement savoir au régime cubain que nous n' acceptons plus cette situation .
in the past czechoslovakia just like other countries of the soviet bloc was active in developing countries	Dans le passé , la Tchécoslovaquie , tout comme d' autres pays du bloc soviétique , a entrepris des actions dans les pays en développement .
i usually tend to think that the book is usually better but having said that the fact is that bollywood is now taking a certain aspect of indian - ness and indian culture around the globe	D' habitude je trouve le livre meilleur , mais , ceci étant dit , la vérité c' est qu' aujourd' hui Bollywood propage un certain aspect de la culture indienne autour du globe .
given the expected implementation level of these measures however the council has slightly reduced the payment appropriations as proposed by the commission and has brought them into line with real needs	Toutefois , compte tenu du niveau d’ exécution prévu pour ces mesures , le Conseil a légèrement diminué les crédits de paiements proposés par la Commission et les a alignés sur les besoins réels .
and these are not characteristics of old media and they 're barely true of the media of today but they will define the entertainment of the future	Et ce ne sont pas les caractéristiques des anciens médias , et elles sont à peine valables pour les médias d' aujourd’ hui . Mais elles définiront le divertissement du futur .
at the same time countries like india feel that the us along with europe have been on both sides of “ free ” and “ fair ” trade – but always from a narrow nationalistic perspective	En même temps , des pays comme l' Inde pensent que les USA et l' Europe veulent des échanges commerciaux équitables et libres de toute entrave surtout quand cela répond à leurs intérêts .
ambitious but thwarted presidents are easily tempted to take unconstitutional measures after all they reason the people elected them directly	Des présidents ambitieux mais contrecarrés dans leurs actions sont facilement tentés de prendre des mesures inconstitutionnelles ; après tout , raisonnent - ils , le peuple les a élu au suffrage direct .
the culture minister akhmed zakayev resides in my city london also as a refugee and in the past has denied any links with mr basayev	Le ministre de la culture , Ahmed Zakaïev , qui réside à Londres , dans ma ville , également en tant que réfugié , a toujours nié , par le passé , avoir des liens avec M. Bassaïev .
it is very important therefore that we pool all our reserves in that respect	Il est très important , par conséquent , que nous rassemblions toutes nos réserves à cette fin .
it does not introduce a separate regime for the institutions - indeed it can not	Elle n' introduit aucun régime spécifique aux institutions - elle ne le peut pas , en fait .
the european union has always supported the principle of the shortest route and that means that we need the appropriate transit routes through switzerland	L' Union européenne s' est toujours attachée au principe de la voie la plus courte et cela signifie également que nous bénéficiions des possibilités de transit via la Suisse .
understanding these social and cultural processes could itself be an important focus of new research	Comprendre ces processus sociaux et culturels pourrait être un réel nouveau sujet de recherche .
harper lowered canada ’s sales and corporate taxes now well below america ’s and like cameron desires more rapid fiscal consolidation than us president barack obama	Harper a baissé les taxes sur les ventes et les impôts sur les sociétés ( aujourd’hui nettement inférieurs à leurs équivalents américains ) , et , comme Cameron , il veut une consolidation budgétaire plus rapide que le président américain Barack Obama .
the change to the administrative system which is being planned sets considerably more ambitious objectives as compared to the current safe level and the precautionary principle	La modification prévue du système administratif fixe des objectifs considérablement plus ambitieux par rapport au niveau sûr actuel et au principe de précaution .
no one had conceived of using a fully loaded large passenger plane as a weapon	Personne n' avait imaginé qu' un grand avion de ligne rempli de passagers puisse servir d' arme .
i think that we are not that far apart and i am sure that at the end of the day it will be possible to find an acceptable compromise	Je pense que nous ne sommes pas si opposés et je suis convaincue qu' en fin de compte , nous trouverons un compromis acceptable .
that is being encouraged and acknowledged in a positive way by the commission	La Commission le reconnaît et l' encourage dans un esprit positif .
another thing is it turns out those resources do n't usually come from the places you might expect -- banks venture capitalists other organizations and support structures -- they come from friends and family	Ensuite il s’ avère que ces ressources ne proviennent pas des endroits auxquels on s’ attend -- les banques , les investisseurs , ou d’ autres structures équivalentes-- Ils proviennent des amis et de la famille .
it is entirely a matter for each member state to determine how labour relations are organised and whether or not its system includes collective bargaining	Il appartient entièrement à chaque État membre de déterminer la manière dont les relations de travail sont organisées et si son système inclut ou non des négociations collectives .
what struck me was this she had felt sorry for me even before she saw me	Ce qui m' a frappée , c' était qu' elle avait ressenti de la pitié pour moi avant même de me connaître .
doubts also persist about the process of binding foods for example cold bonding without the addition of salt and without any subsequent heating process and the safety of the final product	Des doutes subsistent également au sujet du processus de liaison d' aliments ( par exemple , la liaison froide , sans ajout de sel et sans cuisson subséquente ) et de la sécurité du produit fini .
that agreement clearly marks the start of a new era	Cet accord marque clairement le début d' une ère nouvelle .
but islam has traditionally always been pluralistic and tolerant of differences	Traditionnellement , l' islam a toujours été pluraliste et ouvert aux différences .
do we accuse a lot of republicans today of being anti - american	Accusons - nous nombre de républicains de faire preuve , aujourd'hui , d' anti - américanisme ?
the european commission should therefore be able to participate in the construction of port and airport infrastructure to provide links between regions	Ainsi , il serait souhaitable que la Commission européenne puisse participer à la réalisation d' infrastructures portuaires et aéroportuaires pour les liaisons entre régions .
agreement has been reached for the launch of a single currency on 1st january next year	Un accord a été conclu sur le lancement de la monnaie unique dès le 1er janvier de l' année prochaine .
secondly the anastassopoulos report also has the merit of applying the principle of subsidiarity for example in the power it gives the member states to determine the constituencies according to the specific characteristics of each country	Deuxièmement , le rapport Anastassopoulos applique aussi le principe de subsidiarité , par exemple , dans la faculté qu' il accorde aux États membres d' établir des circonscriptions électorales conformément aux caractéristiques spécifiques de chaque pays .
budapest – today millions of europeans are afraid and frustrated as they face unemployment loss of savings and pensions radically reduced social benefits and other economic hardships	BUDAPEST – Des millions d’ Européens éprouvent en ce moment craintes et frustrations devant la perspective de perdre emplois , épargnes et pensions . Ils s’ inquiètent des avantages sociaux qui se réduisent comme une peau de chagrin et voient venir d’ autres difficultés économiques .
the thing that sticks with me the most is that he was apologizing to me for crying in front of me	Ce qui m' a le plus marqué c' est qu' il s' excusait parce qu' il pleurait devant moi .
this was not the opinion of the majority in the committee on civil liberties and internal affairs	Ce n' était pas là l' avis de la majorité à la commission des libertés publiques et des affaires intérieures .
if you look at when the funds were used you can see that a considerable percentage were not used until the last few weeks of the year	Quand on voit le moment auquel les crédits ont été utilisés , on s' aperçoit qu' une bonne partie n' a été utilisée que durant les dernières semaines de l' année .
mr geremek simply out of courtesy to you i am going to consider your speech to be a personal statement but you can not resume the debate at this stage	- Monsieur Geremek , par pure courtoisie à votre égard , je vais considérer votre intervention comme une intervention pour fait personnel , mais vous ne pouvez pas relancer le débat à ce stade .
thank you once again	Encore une fois , merci !
traveling is a lot of fun	Voyager est très amusant .
so i can determine when you 're looking at something whether you 're excited or whether you 're aroused or not ok	Je peux donc déterminer , lorsque vous observez un objet , si vous êtes agité , ou alors , si vous êtes excité ou pas , d' accord ?
by contributing to the integration of the middle east into the global system turkey ’s democracy and market economy are having a positive spillover on its southern neighbors however modest	En contribuant à l’ intégration du Moyen - Orient dans le système global , la démocratie et l’ économie de marché turques ont des retombées positives - même si elles restent très modestes - sur ses voisins méridionaux .
and this little girl comes up to me	Et cette petite fille vient vers moi .
we must make sure that we do not get overtaken by events	Nous devons nous assurer que nous ne sommes pas dépassés par les événements .
over the last few years we have moved to a whole new approach on the european regulation of securities designed to ensure that europe can react quickly and effectively to market developments and opportunities	Au cours des dernières années , nous avons adopté une toute nouvelle approche concernant le règlement européen sur les valeurs mobilières visant à garantir une réaction rapide et efficace de l’ Europe aux développements et possibilités du marché .
it turns out what we found was pretty surprising	Il s' avère que ce que nous avons découvert était plutôt surprenant .
in other words the network provides power to achieve preferred outcomes with other players rather than over them	En d’ autres termes , le réseau confère le pouvoir de parvenir aux résultats escomptés avec d’ autres acteurs plutôt que malgré eux .
those people who with no thought at all of profit make an effort on behalf of people in fear of their lives must not be punished	Ces gens qui agissent , sans objectif de gain , pour des personnes craignant pour leur vie , ne doivent pas être punis .
it is high time that european leaders take this promise seriously	Il est grand temps que les dirigeants prennent leur promesse au sérieux .
on the other hand if you 're visiting an underdeveloped country and 25 dollars buys you a gourmet meal it 's exorbitant for a big mac	D' un autre côté , si vous êtes dans un pays en voie de développement , où 25 dollars peuvent vous obtenir un repas de luxe , c' est exorbitant pour un Big Mac .
secondly europe could in fact play a decisive role at the negotiations in seattle on world trade	D' autre part , l' Europe pourrait effectivement jouer un rôle décisif lors des négociations de Seattle sur le commerce international .
and actually the second general hospital in vienna in about 1850 was where we started to build out an entire curriculum for teaching med students specialties	Et le deuxième hôpital général de Vienne autour de 1850 fut l' endroit où l' on commença à établir un programme entier pour l' enseignement des spécialités médicales aux étudiants .
so maybe you know there 's no such thing as crazy and being diagnosed with a mental illness does n't mean you 're crazy	Donc peut - être , vous savez , que la folie n' existe pas , et diagnostiquer une maladie mentale ne veut pas dire que vous êtes fou .
i personally am not involved in negotiations but several people have told me as much	Moi - même , je ne participe pas directement aux négociations , mais je me suis laissé dire cela par maintes parties .
i now hear that the court of auditors is waiting for the judicial inquiry in luxembourg	J' entends à présent que la Cour des comptes va attendre l' enquête judiciaire du Luxembourg .
we had valuable discussions in bamako and in edinburgh and this parliament i am sure will take the acp views into account	Nous avons eu des discussions capitales à Bamako et à Édimbourg et je suis convaincu que le Parlement prendra en considération les avis des pays ACP .
the resolution is yet more proof of the irreversible strategic agreement between the eu and the united states at the expense of the people	La résolution est une nouvelle illustration de l' accord stratégique irréversible entre l' UE et les États - Unis aux dépens de la population .
and you might imagine education would be the way that happens	Et vous pourriez imaginer que ce serait là , le résultat de l' éducation .
fortunately for latin america there is little indication that sandinista - style electoral fraud is spreading	Heureusement pour l’ Amérique latine , il n’ y a pas de raison de penser que la fraude électorale sandiniste risque de s’ étendre .
there were many reasons not to have expected malaysia to be a success	Les raisons de ne pas s’ attendre à une telle réussite ne manquaient pourtant pas .
the duty - free system for example distorts competition between modes of transport and so on	Le système des ventes hors taxes altère la concurrence entre moyens de transport et ainsi de suite .
does that mean that we should give up on negotiating	Pour autant , est -ce qu' il faut renoncer à négocier ?
if you could actually choose to preserve your romantic attachments to one person undiminished through time so that would n't have to -- love would never have to fade if you did n't want it to	Si vous pouviez réellement choisir de préserver votre relation romantique avec une personne , sans qu' elle diminue avec le temps , de telle manière qu' il n' y ait pas -- que l' amour ne s' évapore jamais contre votre volonté .
brussels intrudes in many of the affairs of member states it is important for us to regulate agriculture internal markets the flow of capital	Bruxelles s' ingère dans de nombreuses affaires des États membres : il est important pour nous de réglementer l' agriculture , les marchés intérieurs , les flux de capitaux .
whatever its heritage no state can attempt to resolve its transport problems without reference to this splendid and vitally important european variable	Quel que soit son patrimoine , aucun État ne peut tenter de résoudre ses problèmes de transport sans prendre en considération cette variable européenne à la fois merveilleuse et vitale .
the secretary - general of the council javier solana at a meeting with the un secretary - general on 10 july 2007 said with regard to kosovo any further delay of this issue will not be beneficial	Lors de sa rencontre avec le Secrétaire général des Nations unies , le 10 juillet 2007 , M. Javier Solana , Secrétaire général du Conseil , a déclaré au sujet du Kosovo que tout nouveau retard serait contreproductif .
i call the sys admin force your mom 's military	J' appelle la Force des Admin Sys l' armée de maman .
the place where the electricity is generated is significant	Il est très important de savoir où l' électricité est produite .
this would enable nato and the eu to assess future scenarios and find ways to work together to prevent and manage crises	Cela permettrait à l' OTAN et à l' UE d' envisager des scénarios futurs et de trouver des moyens pour travailler ensemble afin d' éviter et de gérer les crises .
you know what we should be ashamed	Vous savez quoi ? Nous devrions avoir honte .
so replicating food taking it into that next level is where we 're going	Donc répliquer la nourriture , l' amener au niveau suivant , c' est là où nous allons .
we 've got a graphic novel we 've got leveling up in skills like local insight knowledge networking sustainability vision and resourcefulness	Il y a une bande dessinée , différents niveaux en études locales , en réseau de connaissance , développement durable , vision et ressource .
what is it you want to tell to us	Que voulez - vous nous dire ?
radio could carry sound without wires	La radio pouvait transporter du son sans fils .
tom was mindful of my warning	Tom a tenu compte de mon avertissement .
i am also deeply concerned about the snail 's pace at which olaf worked in investigating this whole sorry matter	Je m’ inquiète aussi profondément du fait que l’ OLAF a enquêté sur cette navrante affaire d’ un pas de tortue .
this proposal was made by a commissioner that i feel has completely lost touch with economic reality	Cette proposition émane d' un commissaire qui , à mon avis , semble avoir perdu toute notion des réalités économiques .
as far as tunisia is concerned the pretexts put forward in the motion for a resolution are flimsy and the evidence slight	Pour ce qui est de la Tunisie , les prétextes avancés dans la résolution sont minces et les preuves légères .
again and again local and international economists have issued dire warnings about what would happen if it persisted in its heterodoxy	Encore et encore , les économistes argentins et étrangers ont lancé des avertissements pessimistes sur la suite des événements s’ ils persistaient dans leur hérésie .
already any eu citizen can be extradited from one eu country to another by means of a european arrest warrant with minimal safeguards	Tout citoyen européen peut d' ores et déjà être extradé d' un pays de l' UE vers un autre grâce à un mandat d' arrêt européen offrant des garanties minimales .
the lead paint in the mattel case was detected first in the course of the tests carried out on behalf of the european distributor	La peinture au plomb , dans l' affaire Mattel , a d' abord été détectée au cours des essais effectués pour le compte du distributeur européen .
president - in - office of the council - madam president we are all aware that we are continuing to suffer from one of the most severe financial and economic crises for many years	président en exercice du Conseil . - ( EN ) Madame la Présidente , nous sommes tous bien conscients de continuer à subir une des crises financières et économiques les plus graves depuis des années .
mrs martens ’ report and the motion tabled are ambitious	Le rapport de Mme Martens et la résolution proposée sont ambitieux .
it was certainly very interesting to see how colleagues truly became friends in the course of that year and a half as a result of working together	J' ai suivi avec beaucoup d' intérêt la naissance d' amitiés entre collègues qui a résulté de cette collaboration d' un an et demi .
why what did we want to do	Pourquoi , qu' avons - nous voulu faire ?
turkey does not fulfil the political part of these criteria	La Turquie ne remplit pas le volet politique de ces critères .
perry has acquired the habit of thinking aloud	Perry a pris l' habitude de penser à voix haute .
i would therefore be interested in hearing your views on these matters	Je serais donc curieuse d' entendre ce que vous avez à dire à ce sujet .
therefore we have considerable leverage here in the eu over president ali abdullah saleh	Par conséquent , nous disposons , ici même dans l' Union , de moyens de pression considérables sur le président Ali Abdullah Saleh .
i wish to thank the commissioner and his staff for their cooperation and help i also wish to thank the council for its cooperation and help	Je tiens à remercier le commissaire et le personnel qui l’ accompagne , ainsi que le Conseil , pour leur coopération et leur aide .
so that 's 20 micrometers across that pollen grain there	Le diamètre est de 20 microns , pour ce grain de pollen que vous voyez ici .
as chairman of the political committee of that assembly i shall be leading that delegation from 18 september with our mission being to examine the conditions necessary for a resumption of political dialogue	En tant que présidente de la commission politique de cette Assemblée , je prendrai la tête de cette délégation à partir du 18 septembre , avec pour mission d’ étudier les conditions nécessaires à la reprise du dialogue politique .
it is disgraceful that no definitive solution has managed to be found to this issue	Il est honteux qu' aucune solution définitive à ce problème n' ait pu être trouvée .
unicef and others must act swiftly to provide the shelter protection and registration that those children need if they are to rebuild their lives and perhaps eventually be traced by relatives	L’ Unicef et d’ autres doivent agir promptement pour apporter un abri et une protection à ces enfants et les inscrire dans un registre afin qu’ ils puissent reconstruire leur vie et peut - être , un jour , être retrouvés par leurs parents .
the old and sick would be killed by euthanasia the rest sterilised and vaccinated	Les chiens âgés et malades seraient euthanasiés ; les autres stérilisés et vaccinés .
anyone who does not want to return to the nineteenth century is branded a reactionary	Ceux qui ne veulent pas retourner au XIXe siècle reçoivent l' étiquette de réactionnaire .
i keep this photograph close by to me --	Je garde cette photo près de moi .
neighbours are just that neighbours	Les voisins ne sont que des voisins .
how is he getting along with his school work	Comment ça va à son école ?
the fourth alternative for policymakers is to focus on child health initiatives	La quatrième solution pour les décideurs consiste à se concentrer sur des initiatives concernant la santé des enfants .
we were all led to believe according to the voting list drawn up by your services with ours that there would be a vote on the principle of the transitional regime	D' après la liste de vote établie par vos services et les nôtres , nous avions tous été amenés à croire que le principe de régime transitoire serait mis aux voix .
over the last two years croatia has made laudable progress in most of the areas covered by community law	Au cours des deux dernières années , la Croatie a fait des progrès louables dans la plupart des domaines couverts par le droit communautaire .
a concession has since been made to the developing countries but this does not alter the fundamental issue	Nous avons désormais accordé des concessions aux pays en voie de développement , mais les problèmes de fond demeurent inchangés .
the belgian presidency must therefore deal with this matter it can not escape it but the preparatory work must be done first	Il faut donc que les Belges soient saisis quand ils arrivent à la présidence , qu' ils n' y échappent pas , mais que le travail préparatoire soit fait .
i hope that the outcome will result in new market opportunities and a strengthening of the rules on multilateral trade so as to place trade at the service of sustainable development	J' espère que cela donnera lieu à la création de nouvelles opportunités commerciales et au renforcement des règles relatives au commerce multilatéral , dans le but de mettre le commerce au service du développement durable .
they always seemed to be kind of related	Ils semblaient toujours plus ou moins liés .
standards are part of that not just in europe but also in the world as a whole	Les normes font partie de ce tout , non seulement en Europe , mais aussi dans le monde entier .
i would like to ask the chairman of the relevant committee to give his opinion	- Je souhaite demander au président de la commission compétente de donner son avis .
the debate has been dominated by the repressive aspects of migration policy and has shown scant regard for its humanitarian aspects	Le débat a été dominé par les aspects répressifs de la politique de l' immigration et s' est à peine préoccupé de ses aspects humanitaires .
we 're going to have to re - learn what the building blocks of these things are the street the block how to compose public space that 's both large and small the courtyard the civic square and how to really make use of this property	Nous allons devoir réapprendre ce que signifie la construction de toutes ces choses . La rue . Le pâté de maisons . Comment composer un espace public qui soit à la fois grand et petit ? La cour . La place publique . Et comment mettre en valeur cet immobilier .
i 've had quite enough of his impudence	J' en ai plus qu' assez de son impudence .
we very recently began a specific action programme based on this approach which forms part of a whole raft of actions adopted by the who the un and unicef the onpi and the wto	Nous avons adopté , très récemment , un programme d' action précis qui est appuyé sur cette approche et qui s' insère dans l' ensemble des efforts menés par l' OMS , par l' ONU , par l' UNICEF , par l' ONPI et par l' OMC .
i got my masters and then went to art school after that	J' ai eu mon master , et suis allé dans une école d' art après ça .
on maritime ports we do not have any legislation at this stage in the pipeline	Concernant les ports maritimes , nous n' avons à ce stade aucune législation en préparation .
through democratic elections they succeeded in bringing about fundamental change	En organisant des élections démocratiques , ils ont réussi à apporter un changement fondamental .
mr president commissioner ladies and gentlemen when in march 1995 we voted on the first directive on the patentability of biotechnologies i voted in favour	Monsieur le Président , Monsieur le Commissaire , mes chers collègues , lors du vote du mois de mars 1995 sur la première directive concernant la brevetabilité des biotechnologies , j' ai voté pour .
this is what clearly appears in the resolution too but i consider it highly essential for us to look at the conditions that have to be created to enable parliament to play a full part	Cela figure d' ailleurs clairement dans la résolution . Cela étant , je pense qu' il est essentiel que nous nous penchions sur les conditions à prévoir afin que le Parlement puisse jouer ici un rôle à part entière .
i ask council to press this specific case rather than just make generalized condemnations	Je voudrais donc demander au Conseil d' exiger une réponse sur ce cas spécifique plutôt que de se limiter à émettre des condamnations générales .
last week the foreign affairs council discussed the situation in the middle east and adopted conclusions	La semaine dernière , le Conseil " Affaires étrangères " a discuté de la situation au Proche - Orient et adopté des conclusions .
with regard to the creation of a preparatory convention for the new igc we feel its prime objective is an attempt to limit or impose conditions on the sovereign decisions of governments and national parliaments	Quant à la création d' une " convention " de " préparation " à la nouvelle CIG , nous considérons avoir pour objectif essentiel de limiter ou de conditionner les décisions souveraines des parlements nationaux .
imf consultations and evaluations have had little impact outside of economies that are heavily dependent on imf programs	Les consultations et les évaluations du FMI n’ ont eu qu’ un impact limité en dehors des économies déjà lourdement dépendantes de programmes du FMI .
and he said well there 's 2,000 physicists on wall street now and i 'm one of them	Et il a répondu " Eh bien , il y a actuellement 2000 physiciens à Wall Street " et j' en fait partie . "
support for the development of educational systems with the assistance of interdisciplinary investment is also strongly justified	Le soutien au développement de systèmes éducatifs , avec l' assistance d' un investissement interdisciplinaire , est lui aussi bien justifié .
we 're pulling out we 're zooming out out through a nuclear pore which is the gateway to this compartment that holds all the dna called the nucleus	Nous nous dégageons , nous zoomons en arrière à travers un pore nucléaire , qui est l’ entrée vers ce compartiment qui contient tout l’ ADN qui s’ appelle noyau .
there are some things that helped me i think be better than i would have been i know i 'm not what i ought to be not what i should be but i think i 'm better than i would have been if i had n't run across certain things	Il y a des choses qui m’ ont aidées , je crois , à être meilleur que je ne l’ aurais été . Je sais que je se suis pas ce que j’ aurais dû être , ni ce que je devrais être . Mais je pense que je suis meilleur que ce que j’ aurais été si je n’ avais pas découvert certaines choses .
mr president with respect i think the honourable member has completely missed the point because twice she said the people that were elected last week	( EN ) Monsieur le Président , avec tout le respect que je lui dois , je pense que l' honorable députée n' a absolument rien compris , parce qu' elle a parlé à deux reprises des " personnes qui ont été élues la semaine dernière " .
i would like to draw attention to the suggestions of the committee on agriculture and rural development which are contained in my report	J' attire votre attention sur les suggestions de la commission de l' agriculture et du développement rural contenues dans mon rapport .
i also welcome the ban on the importation of iuu fish and the publication of a list of vessels involved in iuu fishing	De même , je salue l' interdiction d' importer du poisson provenant de la pêche illicite ainsi que la publication d' une liste répertoriant les navires voyous .
there are certainly a number of amendments where we need further clarification	Il y a de nombreux amendements pour lesquels nous avons besoin de plus de clarification .
thirdly a question which bears no relation to this issue but is highly topical and if you wish you can answer us	Troisièmement , une question qui ne se rapporte pas directement au sujet mais qui est d' une grande actualité et à laquelle vous pouvez répondre , si vous le voulez bien .
in its programme of activities over the past year and a half the committee on institutional affairs has clarified the direction to be pursued the result is the three reports we are debating today	Au cours des 18 derniers mois , grâce à son programme de travail , la commission institutionnelle a éclairci cette orientation et rédigé les trois rapports dont nous avons à débattre aujourd'hui .
and in the process they use up all the oxygen	Et dans le processus , ils épuisent tout l' oxygène .
this particularly affects us hungarians	Il s’ agit d’ un problème qui nous affecte particulièrement en Hongrie .
sue was n't trying to achieve difference in her life she was just trying to achieve the face that matched her personality	Sue n' essayait pas d' obtenir une différence dans sa vie , elle essayait seulement d' obtenir le visage qui correspondait à sa personnalité .
follow - up to the report on competition in professional services vote	Suivi du rapport sur la concurrence dans le secteur des professions libérales ( vote )
in 1998 120 states voted in favour of such a court - only seven opposed it including the us	En 1998 , 120 États ont voté en faveur d' une telle cour - avec sept voix contre seulement , dont celle des États - Unis .
so welcome to romania and bulgaria let us welcome their politicians onto the eu gravy train	Donc , bienvenue à la Roumanie et à la Bulgarie ; accueillons leurs hommes politiques dans la mine d’ or européenne .
therefore smes still have problems in expanding their activities improving their innovative capacity accessing markets and obtaining funding and face excessive red tape	Par voie de conséquence , les PME éprouvent toujours des problèmes pour étendre leurs activités , améliorer leur capacité novatrice , accéder aux marchés et obtenir des financements , et faire face à une administration excessive .
basically nobody wants substantial reform of the works councils certainly not before the next european elections	Au fond , personne ne veut d' une réforme substantielle des comités d' entreprise , certainement pas avant les élections européennes .
the trade and cooperation agreement between the european community and macao signed in 1992 will remain in force	L' accord de commerce et de coopération conclu entre la Communauté européenne et Macao en 1992 restera en vigueur .
this is a step forward towards managing all borders	C' est un pas en avant dans la perspective de la gestion de l' ensemble des frontières .
we invent for fun --	Nous inventons pour le plaisir .
do n't be disgusting	Ne sois pas dégoûtant .
it is a document that asserts or confirms our undertakings as regards reducing emissions and promoting alternative energies	Ce document affirme , ou réaffirme , nos engagements en ce qui concerne la réduction des émissions et la promotion d' énergies alternatives .
moreover this is not just a story about sales	Il ne s’ agit pas seulement de ventes .
as he talked he got more and more excited	À mesure qu' il parlait , il devenait de plus en plus excité .
this would save more than a million child deaths and produce economic benefits worth $ 20 billion	Cela épargnerait plus d’ un million de vies d’ enfants et produirait des bénéfices économiques d’ une valeur de plus de 20 milliards de dollars .
indeed one senses a certain satisfaction in some countries that have been the targets of human rights criticism by the us now they sense an opportunity to turn the tables	En effet , les pays qui ont été la cible de critiques américaines relativement aux droits de l' homme font désormais preuve d' une certaine satisfaction ; ils voient maintenant une opportunité de renverser les rôles .
in the case of romania the proportion of rejected visa applications from romanian citizens has dropped from 16 % to 5 % between 2004 and 2008	Dans le cas de la Roumanie , la proportion des demandes de visas rejetées qui émanent de citoyens roumains a chuté de 16 % à 5 % entre 2004 et 2008 .
such a move would be deemed premature by numerous critics	Certains critiques seront prompts à dire qu’ une telle démarche est prématurée .
we look forward to the work of the european maritime safety agency	Nous sommes impatients de voir les travaux de l’ Agence européenne pour la sécurité maritime .
we are only a few months away from the european elections	Quelques mois seulement nous séparent des élections européennes .
effecting improvements in the management and control of complex programmes involving many organisations at different levels is difficult and takes time	L' amélioration de la gestion et le contrôle de programmes complexes faisant intervenir de nombreuses organisations à différents niveaux est une tâche difficile et demande du temps .
it madam president it is strange that when we talk in this house about freedom of expression in italy we continually exceed the speaking time and thus indirectly censor the next speaker	( IT ) Madame la Présidente , lorsque nous parlons ici de la liberté d' expression en Italie , étrangement , nous dépassons systématiquement le temps de parole dont nous disposons et nous censurons donc , indirectement , l' orateur suivant .
in any event these accession negotiations need to be managed carefully and prepared thoroughly in order to facilitate such a process and an outcome that enhances the achievements of fifty years of european integration	Quoi qu’ il en soit , ces négociations d’ adhésion doivent être gérées avec précaution et préparées en profondeur , en vue de faciliter le processus et de parvenir à un résultat qui renforcera les réalisations de cinquante ans d’ intégration européenne .
